日付,都道府県,保健所数,注意報数,警報数
2023/11/22,北海道,30,9,18
2023/11/22,青森県,8,6,0
2023/11/22,岩手県,10,3,4
2023/11/22,宮城県,11,5,4
2023/11/22,秋田県,9,5,1
2023/11/22,山形県,5,2,3
2023/11/22,福島県,9,3,6
2023/11/22,茨城県,10,5,2
2023/11/22,栃木県,6,6,0
2023/11/22,群馬県,12,7,4
2023/11/22,埼玉県,17,7,10
2023/11/22,千葉県,16,7,8
2023/11/22,東京都,31,13,7
2023/11/22,神奈川県,37,17,9
2023/11/22,新潟県,13,6,3
2023/11/22,富山県,5,3,0
2023/11/22,石川県,5,4,0
2023/11/22,福井県,7,0,1
2023/11/22,山梨県,6,1,3
2023/11/22,長野県,12,4,8
2023/11/22,岐阜県,8,3,4
2023/11/22,静岡県,9,6,2
2023/11/22,愛知県,31,10,18
2023/11/22,三重県,9,4,4
2023/11/22,滋賀県,7,4,0
2023/11/22,京都府,19,11,2
2023/11/22,大阪府,42,24,4
2023/11/22,兵庫県,17,6,8
2023/11/22,奈良県,4,3,1
2023/11/22,和歌山県,9,5,1
2023/11/22,鳥取県,3,1,2
2023/11/22,島根県,8,3,3
2023/11/22,岡山県,7,5,1
2023/11/22,広島県,14,8,6
2023/11/22,山口県,9,4,5
2023/11/22,徳島県,6,3,2
2023/11/22,香川県,5,3,1
2023/11/22,愛媛県,7,2,5
2023/11/22,高知県,6,3,3
2023/11/22,福岡県,18,10,7
2023/11/22,佐賀県,5,1,4
2023/11/22,長崎県,10,6,4
2023/11/22,熊本県,11,4,5
2023/11/22,大分県,7,3,4
2023/11/22,宮崎県,9,6,3
2023/11/22,鹿児島県,14,4,5
2023/11/22,沖縄県,6,2,2
-,-,559,257,197
 ,,,,
